Cell	Cell_Type	Gender
E9.MAA000581.3_10_M.1.1	oligodendrocyte	M
B3.MAA000581.3_10_M.1.1	oligodendrocyte	M
E10.MAA000581.3_10_M.1.1	oligodendrocyte	M
C8.MAA000581.3_10_M.1.1	oligodendrocyte	M
C10.MAA000581.3_10_M.1.1	oligodendrocyte	M
I2.MAA000581.3_10_M.1.1	oligodendrocyte	M
H1.MAA000581.3_10_M.1.1	oligodendrocyte	M
H4.MAA000581.3_10_M.1.1	oligodendrocyte	M
M3.MAA000581.3_10_M.1.1	oligodendrocyte	M
O8.MAA000581.3_10_M.1.1	oligodendrocyte	M
M4.MAA000581.3_10_M.1.1	oligodendrocyte	M
M10.MAA000581.3_10_M.1.1	oligodendrocyte	M
N1.MAA000581.3_10_M.1.1	oligodendrocyte	M
D8.MAA000615.3_10_M.1.1	oligodendrocyte	M
H3.MAA000615.3_10_M.1.1	oligodendrocyte	M
K10.MAA000615.3_10_M.1.1	oligodendrocyte	M
B4.MAA000615.3_10_M.1.1	oligodendrocyte	M
D9.MAA000615.3_10_M.1.1	oligodendrocyte	M
H4.MAA000615.3_10_M.1.1	oligodendrocyte	M
O6.MAA000615.3_10_M.1.1	oligodendrocyte	M
H11.MAA000615.3_10_M.1.1	oligodendrocyte	M
L6.MAA000615.3_10_M.1.1	oligodendrocyte	M
L8.MAA000615.3_10_M.1.1	oligodendrocyte	M
E4.MAA000615.3_10_M.1.1	oligodendrocyte	M
I8.MAA000615.3_10_M.1.1	oligodendrocyte	M
L10.MAA000615.3_10_M.1.1	oligodendrocyte	M
E6.MAA000615.3_10_M.1.1	oligodendrocyte	M
J3.MAA000615.3_10_M.1.1	oligodendrocyte	M
C6.MAA000615.3_10_M.1.1	oligodendrocyte	M
C7.MAA000615.3_10_M.1.1	oligodendrocyte	M
M4.MAA000615.3_10_M.1.1	oligodendrocyte	M
F2.MAA000615.3_10_M.1.1	oligodendrocyte	M
J6.MAA000615.3_10_M.1.1	oligodendrocyte	M
M6.MAA000615.3_10_M.1.1	oligodendrocyte	M
J7.MAA000615.3_10_M.1.1	oligodendrocyte	M
M7.MAA000615.3_10_M.1.1	oligodendrocyte	M
J10.MAA000615.3_10_M.1.1	oligodendrocyte	M
M8.MAA000615.3_10_M.1.1	oligodendrocyte	M
G3.MAA000615.3_10_M.1.1	oligodendrocyte	M
A3.MAA000615.3_10_M.1.1	oligodendrocyte	M
G4.MAA000615.3_10_M.1.1	oligodendrocyte	M
K4.MAA000615.3_10_M.1.1	oligodendrocyte	M
A4.MAA000615.3_10_M.1.1	oligodendrocyte	M
A7.MAA000615.3_10_M.1.1	oligodendrocyte	M
D5.MAA000615.3_10_M.1.1	oligodendrocyte	M
G9.MAA000615.3_10_M.1.1	oligodendrocyte	M
D4.MAA000615.3_10_M.1.1	oligodendrocyte	M
K7.MAA000615.3_10_M.1.1	oligodendrocyte	M
N9.MAA000615.3_10_M.1.1	oligodendrocyte	M
G8.MAA000615.3_10_M.1.1	oligodendrocyte	M
N7.MAA000615.3_10_M.1.1	oligodendrocyte	M
G10.MAA000615.3_10_M.1.1	oligodendrocyte	M
K8.MAA000615.3_10_M.1.1	oligodendrocyte	M
D7.MAA000615.3_10_M.1.1	oligodendrocyte	M
K9.MAA000615.3_10_M.1.1	oligodendrocyte	M
I4.MAA000638.3_9_M.1.1	oligodendrocyte	M
I7.MAA000638.3_9_M.1.1	oligodendrocyte	M
N4.MAA000902.3_11_M.1.1	oligodendrocyte	M
A16.MAA000902.3_11_M.1.1	oligodendrocyte	M
I11.MAA000902.3_11_M.1.1	oligodendrocyte	M
L20.MAA000902.3_11_M.1.1	oligodendrocyte	M
M15.MAA000902.3_11_M.1.1	oligodendrocyte	M
E9.MAA000923.3_9_M.1.1	oligodendrocyte	M
G13.MAA000923.3_9_M.1.1	oligodendrocyte	M
I15.MAA000923.3_9_M.1.1	oligodendrocyte	M
B10.MAA000923.3_9_M.1.1	oligodendrocyte	M
B9.MAA000923.3_9_M.1.1	oligodendrocyte	M
E16.MAA000923.3_9_M.1.1	oligodendrocyte	M
G21.MAA000923.3_9_M.1.1	oligodendrocyte	M
A5.MAA000923.3_9_M.1.1	oligodendrocyte	M
B16.MAA000923.3_9_M.1.1	oligodendrocyte	M
B13.MAA000923.3_9_M.1.1	oligodendrocyte	M
G22.MAA000923.3_9_M.1.1	oligodendrocyte	M
J5.MAA000923.3_9_M.1.1	oligodendrocyte	M
E21.MAA000923.3_9_M.1.1	oligodendrocyte	M
J11.MAA000923.3_9_M.1.1	oligodendrocyte	M
J10.MAA000923.3_9_M.1.1	oligodendrocyte	M
E22.MAA000923.3_9_M.1.1	oligodendrocyte	M
J12.MAA000923.3_9_M.1.1	oligodendrocyte	M
A9.MAA000923.3_9_M.1.1	oligodendrocyte	M
H4.MAA000923.3_9_M.1.1	oligodendrocyte	M
J13.MAA000923.3_9_M.1.1	oligodendrocyte	M
B19.MAA000923.3_9_M.1.1	oligodendrocyte	M
D9.MAA000923.3_9_M.1.1	oligodendrocyte	M
H6.MAA000923.3_9_M.1.1	oligodendrocyte	M
D8.MAA000923.3_9_M.1.1	oligodendrocyte	M
F2.MAA000923.3_9_M.1.1	oligodendrocyte	M
D11.MAA000923.3_9_M.1.1	oligodendrocyte	M
K1.MAA000923.3_9_M.1.1	oligodendrocyte	M
H8.MAA000923.3_9_M.1.1	oligodendrocyte	M
D18.MAA000923.3_9_M.1.1	oligodendrocyte	M
F10.MAA000923.3_9_M.1.1	oligodendrocyte	M
C4.MAA000923.3_9_M.1.1	oligodendrocyte	M
C6.MAA000923.3_9_M.1.1	oligodendrocyte	M
A22.MAA000923.3_9_M.1.1	oligodendrocyte	M
F13.MAA000923.3_9_M.1.1	oligodendrocyte	M
F15.MAA000923.3_9_M.1.1	oligodendrocyte	M
I2.MAA000923.3_9_M.1.1	oligodendrocyte	M
B1.MAA000923.3_9_M.1.1	oligodendrocyte	M
C9.MAA000923.3_9_M.1.1	oligodendrocyte	M
F18.MAA000923.3_9_M.1.1	oligodendrocyte	M
I3.MAA000923.3_9_M.1.1	oligodendrocyte	M
C12.MAA000923.3_9_M.1.1	oligodendrocyte	M
G2.MAA000923.3_9_M.1.1	oligodendrocyte	M
I5.MAA000923.3_9_M.1.1	oligodendrocyte	M
