Cell	Cell_Type	Gender
J19.MAA000917.3_11_M.1.1	leukocyte	M
J20.MAA000917.3_11_M.1.1	leukocyte	M
H14.MAA000917.3_11_M.1.1	leukocyte	M
I19.MAA000917.3_11_M.1.1	leukocyte	M
K17.MAA000917.3_11_M.1.1	leukocyte	M
L22.MAA000917.3_11_M.1.1	leukocyte	M
M9.MAA000917.3_11_M.1.1	leukocyte	M
L7.MAA000917.3_11_M.1.1	leukocyte	M
E11.MAA000918.3_10_M.1.1	leukocyte	M
L8.MAA000918.3_10_M.1.1	leukocyte	M
A4.MAA000918.3_10_M.1.1	leukocyte	M
E18.MAA000918.3_10_M.1.1	leukocyte	M
P2.MAA000918.3_10_M.1.1	leukocyte	M
E19.MAA000918.3_10_M.1.1	leukocyte	M
A15.MAA000918.3_10_M.1.1	leukocyte	M
L20.MAA000918.3_10_M.1.1	leukocyte	M
M5.MAA000918.3_10_M.1.1	leukocyte	M
G3.MAA000918.3_10_M.1.1	leukocyte	M
G13.MAA000918.3_10_M.1.1	leukocyte	M
C4.MAA000918.3_10_M.1.1	leukocyte	M
C6.MAA000918.3_10_M.1.1	leukocyte	M
O3.MAA000918.3_10_M.1.1	leukocyte	M
C21.MAA000918.3_10_M.1.1	leukocyte	M
D22.MAA000918.3_10_M.1.1	leukocyte	M
K7.MAA000918.3_10_M.1.1	leukocyte	M
E5.MAA000918.3_10_M.1.1	leukocyte	M
B19.MAA000919.3_10_M.1.1	leukocyte	M
P6.MAA000919.3_10_M.1.1	leukocyte	M
G21.MAA000919.3_10_M.1.1	leukocyte	M
B20.MAA000919.3_10_M.1.1	leukocyte	M
C3.MAA000919.3_10_M.1.1	leukocyte	M
H8.MAA000919.3_10_M.1.1	leukocyte	M
J2.MAA000919.3_10_M.1.1	leukocyte	M
P19.MAA000919.3_10_M.1.1	leukocyte	M
F2.MAA000919.3_10_M.1.1	leukocyte	M
A6.MAA000919.3_10_M.1.1	leukocyte	M
J15.MAA000919.3_10_M.1.1	leukocyte	M
F14.MAA000919.3_10_M.1.1	leukocyte	M
A21.MAA000919.3_10_M.1.1	leukocyte	M
M16.MAA000919.3_10_M.1.1	leukocyte	M
